no,name,categories,target_sector,specialities,certifications,about_importers,company,company_url,company_attributes,pavilion,booth,exhibited_products,show,image_url,product_url
420,CANNED FRUITS,"Baked Goods | Cakes / Dessert | Gluten-free | Juice | Smoothies | Yoghurt (NULLRegular, Flavoured, Fruit, etc.) | Kosher","Our selection of canned fruits provides a range of options to cater to different preferences: Peaches in halves, dices, or slices, Apricots in halves, fruit cocktail in diced form, and Pears halves. | Canned sizes: | - 410g & 820g can be packaged in cartons or trays containing 6, 12, or 24 tins per carton. | -A9,A10 & A12 can be packaged in cartons or trays containing 3 or 6 tins per carton.",,,We don't have an importer,KRONOS S.A.,https://www.kronos.com.gr/preload,"Overseas exhibitors | Exportable | Co-exhibitor | Organizer : ENTERPRISE GREECE, INVEST AND TRADE S.A",National Pavilion,E1-A15-00,"Canned: peaches / apricots / fruit cocktail / pears | Glass jars: peaches / apricots / fruit cocktail / pears ( flavors available) | Plastic cups: fruit combinations , olives | Aseptic: peach dices, pear dices, apricot halves | Puree concentrate: Peach / apricot / pear/ apple",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=420
421,GLASS JARS,Baked Goods | Cakes / Dessert | Kosher,"ur selection of glass jars offers a variety of options to suit every need. | Choose from Peach halves or slices, Apricot halves, Pear halves and Fruitcocktail. For those seeking an extra touch of indulgence, we also offer flavored options including: Vanilla, Almond, Cinnamon. (Flavoured or Aroma). | | Also, we have avaiable glass jars of green olives, from whole or pitted to stuffed with pepper paste, almond, garlic, sundried tomatoes, jalapeno, and lemon paste. | | Glass jars can be packaged in cartons or trays containing 6 or 12 jars per carton. | Jar sizes: | - 580ml Cylindrical or Orcio(Amphora) | -720ml Cylindrical",,,We don't have an importer,KRONOS S.A.,https://www.kronos.com.gr/preload,"Overseas exhibitors | Exportable | Co-exhibitor | Organizer : ENTERPRISE GREECE, INVEST AND TRADE S.A",National Pavilion,E1-A15-00,"Canned: peaches / apricots / fruit cocktail / pears | Glass jars: peaches / apricots / fruit cocktail / pears ( flavors available) | Plastic cups: fruit combinations , olives | Aseptic: peach dices, pear dices, apricot halves | Puree concentrate: Peach / apricot / pear/ apple",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=421
502,sweet potato print,Cakes / Dessert,"Department stores, supermarkets, roadside stations","A very rich plin made with Anno sweet potatoes, cream and eggs. | On top is a special candy. Please enjoy the texture of the candy and the richness of the sweet potato together by mixing them together.",,We don't have an importer,KISHU ZOE,https://www.kishuzoe.com/,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Wakayama Prefecture,Local Specialities in Japan,S2-C12-00,"Wakayama Foods, Sweets, General Merchandise, Direct from Place of Origin",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_502.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=502
505,Smooth Tiramisu,Cakes / Dessert,"Supermarkets, department stores, retailers, mass merchandisers","Tiramissimo is so well known and popular in the Kansai region that it has been introduced on many TV programs. | The tiramisu is made with Italian mascarpone, genuine Osaka cream, and Sicilian espresso beans, and boasts of being the smoothest tiramisu in Japan.",,We don't have an importer,KISHU ZOE,https://www.kishuzoe.com/,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Wakayama Prefecture,Local Specialities in Japan,S2-C12-00,"Wakayama Foods, Sweets, General Merchandise, Direct from Place of Origin",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173215684124.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=505
520,THE SA BAR,Seafood,"・It can be used as a daily delivery item or a souvenir item regardless of gender or age. | Our customers are trading companies, wholesalers, manufacturer department stores, and other retailers.","・THE SA BAR is unique because it can be stored at room temperature for a year, making it perfect for exporting overseas without using preservatives, or as a regular food. | ・Mataichi Salt...This is a precious salt that has been handed down since animes in Itoshima, and you can enjoy a flavor that is a little different from others. It is low in salt, but you can feel the original flavor of the ingredients. | ・Yagata Salt ... Made with ""Yagata Salt (natural salt)"" from the Goto Islands in Nagasaki, this low-salt drink brings out the full flavor. THE Sa BAR's classic plain drink. | ・Mentaiko: A collaboration product with Hakata Ryotei Wakae. Slowly simmered in a high-quality mentaiko marinade, we have created the ultimate delicious and spicy combination of mackerel and mentaiko. | ・Aged ​​garlic: The aroma of aged mackerel and the richness of aged garlic are perfectly harmonized to create a well-balanced flavor. A masterpiece that has perfected the clas | ・Super spicy: A combination of mackerel and chili peppers, with a rich spice blend, creating a spicy and stimulating taste like nothing you've ever experienced before.","Although we are not HACCP certified, we manage our hygiene in accordance with HACCP.",We don't have an importer,"Yamahira Co., Ltd.",http://www.mutugorou.co.jp/,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Fukuoka Chamber of Commerce and Industry,Exports from Japan,S1-C06-00,"THE SA BAR (Mataichi salt, Yagame salt, mentaiko, aged garlic, spicy),Manma Shrimp, Crispy Eel, Gentle Lightly Fried Shrimp, Manma Shrimp,Smoked raw seaweed,Golden mackerel",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_520.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=520
584,TAKEYA SHIROMISO-SHEET,Miso,,"・This white miso is made using plenty of rice koji created with a koji brewing technique that is highly regarded within the industry. It is characterized by its bright white color and finely textured composition. It has received high praise from many customers for use as a marinade for meat and fish. | ・This white miso is wrapped in a non-woven sheet, making it easier to use as a marinade. When you wrap ingredients in this sheet, only the miso components transfer to the ingredients, while the miso remains inside the sheet. Therefore, when using it, you simply remove the ingredients from the sheet, eliminating the need to wash the ingredients or your hands. | ・It is produced without using bleaching agents or preservatives (about 3% alcohol is added to prevent re-fermentation).",ISO9001,,"TAKEYA MISO Co., Ltd.",https://www.takeya-miso.co.jp/,Japan exhibitors | Exportable | Co-exhibitor | Organizer : JAPAN FEDERATION OF MISO MANFRS CO-OPS,Exports from Japan,S2-K33-018,"TAKEYA TOKUJO MISO, TAKEYA SHIOHIKAEME, TAKEYA MEIJIN NO MISO, TAKEYA GENEN MISO, TAKEDEN KOUJI, TAKEDEN TENCHIGAESHI, SHIROMISO-SHEET",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=584
617,SUMO MISO,Miso | Liquid Seasoning,"Eat out,Home-made replacement,Trading company,Department store etc.","We mix uniquely-blended miso with a plenty of red pepper and garlic to attain the perfect harmony of spicy taste and umami. Very spicy. This product won the Silver Prize, Taste Award, and Package Award at the Local Miso & Soy Sauce Grand Prix in the FOODEX JAPAN 2014.",Other HACCP,We don't have an importer,"TSURUMISO JYOZOU CO., LTD.",https://www.tsurumiso.jp,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Fukuoka Food Business Association,Exports from Japan,S1-G06-00,"miso,miso processed products",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_617.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=617
619,Curry Miso Sauce,Miso | Liquid Seasoning,"Retails, Super Market, Department Store, Restaurant, Food Service, | Central Kitchen, Private Brand, OEM",Our original curry miso is a new type of seasoning that combines | the flavor and spices of curry with our soybeans miso. It is products | that makes the most of the characteristics of soybeans miso which | adds richness and umami to dishes.,ISO22000 | FDA | FSSC22000,,"Sato Brewery Co., Ltd.",https://www.shippomiso.com/,Japan exhibitors | Exportable | Co-exhibitor | Organizer : JAPAN SHOYU ASSOCIATION,Exports from Japan,S2-C29-011,"Yuzu Dashi Ponzu Sauce, Japonaise Sauce, Yakiniku Sauce, Misodare Ichiban, | Curry Miso Sauce",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_619.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=619
621,CASA BONITA CORN TORTILLAS,Baked Goods | Bread | Gluten-free | Vegetarian | Vegan | Organic Products,Quality & Craftsmanship | | • Authentic | • Handmade | • Artisanal | • Traditional | • Premium | | Ingredients | | • Non-GMO | • Organic | • Whole grain | • Stone-ground | • Gluten-free | | Taste & Texture | | • Soft | • Fresh | • Flavorful | • Warm | • Flexible | | Health & Nutrition | | • Low-calorie | • No preservatives | • Vegan-friendly | • High-fiber | • Heart-healthy | | Cultural Connection | | • Mexican heritage | • Authentic flavors | • Family recipe | • Tradition-inspired | • Homestyle | | Versatility & Uses | | • Tacos | • Quesadillas | • Enchiladas | • Burritos | • Perfect for any dish,"1. Authentic Taste & Tradition | | • Made using traditional methods for a truly authentic Mexican flavor. | • Inspired by centuries-old recipes, bringing a taste of heritage to your table. | 2. Premium Ingredients | | • Crafted with stone-ground, non-GMO corn for superior quality and taste. | • No additives or preservatives, ensuring a clean, wholesome product. | 3. Health Benefits | | • Naturally gluten-free and perfect for diverse dietary needs. | • Low in fat and high in fiber, offering a healthy alternative to bread and flour tortillas. | 4. Superior Freshness & Texture | | • Soft, pliable texture that holds up perfectly in tacos, enchiladas, or quesadillas. | • Made in small batches to guarantee freshness and consistency. | 5. Versatility in the Kitchen | | • Ideal for tacos, tostadas, enchiladas, quesadillas, and more. | • Complements any cuisine, from traditional Mexican dishes to creative fusion recipes. | 6. Sustainable Practices | | • Made with eco-friendly, locally sourced ingredients where possible. | • Packaged in biodegradable or recyclable materials, reducing environmental impact. | | 7. Perfect for Any Occasion | | • Great for family dinners, parties, or restaurant-quality meals at home. | |",ISO9001 | ISO22000 | US-HACCP | Other HACCP | GMP | USDA Organic Certification | Non-GMO Certification | GFCO(Gluten-Free Certification Organization) | GFCP(Gluten Free Certification Program),We don't have an importer,Casa Bonita Foods,https://www.casabonitafoods.com,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Agriculture and Agri-Food Canada,National Pavilion,E4-A07-11,"Corn tortillas, corn chips cantina style,fire roasted salsas, street taco seasonings,queso",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_621.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=621
670,Yakiniku sauce miso flavor,Liquid Seasoning,"Can be used for a wide range of purposes, from general household use to professional use.","This is a yakiniku sauce made with Koujiya's soybean miso. In neighboring Matsusaka City, there is a culture of eating grilled chicken with miso sauce, and this dish allows you to enjoy a unique rich flavor that is a little different from soy sauce.",,,"Koujiya Co., Ltd.",,Japan exhibitors | Exportable | Co-exhibitor | Organizer : JAPAN SHOYU ASSOCIATION,Exports from Japan,S2-C29-016,,FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_176394084796.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=670
717,We provide consultation regarding international expansion！,Professional Services,Experts are here to help with your 'What to do about going overseas?' questions.,"”I want to export products or services overseas, but I'm not sure where to start..."" | | ""I want to establish a base overseas."" | | ""I need to find a way to manage the operations of our overseas subsidiary...""",,,"SME SUPPORT,JAPAN",https://www.smrj.go.jp/sme/overseas/index.html,Japan exhibitors | Exportable,Export Support Service,S2-R41,"""We support the overseas expansion of small and medium-sized enterprises in Japan!",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=717
721,THIS IS SALAD Carrot Chips,Health & Wellness Products | Vegetarian | Vegan | Savoury snacks | Vegetable snacks | Finger Food | Salty Snacks | Rice Crackers & Healthy Snacks,,"Because these crackers are rich in carrots, they are rich in dietary fiber, which helps regulate the intestines, and vitamin A, which improves immunity. In particular, one bag of dietary fiber can provide about the same amount of dietary fiber as about two carrots. Recommended for those who are concerned about not having enough vegetables or for children who want to feed them as much vegetables as possible. | No chemical seasonings or preservatives",Other HACCP,We don't have an importer,Tokyobal.inc,https://tokyobal.co.jp/,Japan exhibitors | Exportable,Organic,E5-J14,"THIS IS SALAD Granolas, KAWAIINE Sweet potato snack, Plant based SAMURAI JERKY, 100% Plant based PARMESAN STYLE",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173277499675.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=721
734,Rooibos,Tea,"Tea, brands, packers, traders, Rooibos, Espresso, Cappuccino, Organic, JAS, instant tea","Premium, quality, organic, Rooibos, tea, South Africa",ISO22000 | Organic JAS Mark | USDA Organic Certification | EU Organic Certification,We have an importer,Cape Rooibos,https://www.caperooibostea.co.za,Overseas exhibitors | Exportable,Beverage,S1-C18,"Rooibos, JAS, organic, Honeybush, Tea, Private Label, Rooibos Cappuccino, Instant Tea, Green Tea",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173278106607.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=734
741,Raw Wasabi made from ground roots 50%,Fresh Fruit & Vegetables | Powdered Seasoning | Liquid Seasoning,"It contains the root part of wasabi50%. Wasabi's stem, wasabi mixed paste was not used. It is a product with a good cost-effectiveness.","I made it using the root part, even among wasabi. It features no stem or mixed paste. It has various capacities.",ISO9001 | Other HACCP,We don't have an importer,"ZOOBEE FOODS Co., Ltd.",https://www.zoobee.co.kr/,Overseas exhibitors | Exportable,Processed Food,E7-M20,"Prepared Spice(wasabi), Sauce, Pickled food, Instant cooking food",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_741.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=741
